Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
1,1.5,0.9230769230769231,4.626753074111,2.2720665680478724,10.0,1.2,0.2976190476190476,3,1.4007499089567401,0.3477354061931693,2.0,0.37499999999999994,0.6309523809523809,2,1.8097442877742067,0.6521541390038931,4.090909090909091,1.0909090909090908,0.6813186813186813,1,84,7,36.49005590932594,35.922255569335725,243.31093766494635,0.6519202405202669,3
2,2.5,0.6759259259259259,3.973958333333333,1.8899419568755078,8.0,1.4999999999999998,0.5616438356164384,1,1.4537473147767264,0.3238364517532306,2.0,1.0588235294117647,0.8356164383561644,3,0.9777777777777779,0.5975257626555002,1.6666666666666667,0.6,0.9722222222222222,3,73,35,57.33162505558616,55.82457873300061,197.4251479157424,1.4096964212198304,3
3,3.5,0.5616438356164384,3.547619047619047,1.8680192178667028,7.333333333333334,1.3333333333333335,0.573170731707317,3,1.2778104575163398,0.26837010362199276,2.0,0.8500000000000001,0.8170731707317073,1,1.1812500000000001,0.40985402776363444,1.6666666666666667,0.8333333333333334,0.9726027397260274,2,82,64,60.986696155166676,52.22056622447943,212.02553346964703,2.550746010483991,3
4,4.5,0.4817073170731707,3.3110294117647063,1.5831854271536965,6.666666666666667,1.3333333333333335,0.569620253164557,1,1.2000421637186345,0.3560927728333594,1.8181818181818181,0.625,0.8734177215189873,2,1.6666666666666667,0.0,2.0,1.3333333333333335,0.9878048780487805,1,79,85,63.173505562048554,51.29270754031041,265.92987191718595,1.5,3
5,5.5,0.43670886075949367,3.1258771929824563,1.465369498895965,6.666666666666667,1.2,0.4492753623188406,3,1.1388888888888888,0.2678791878053598,1.3333333333333333,0.8333333333333334,0.9565217391304348,2,0.8500000000000001,0.0,0.8500000000000001,0.8500000000000001,0.9936708860759493,1,69,89,65.41788062233405,51.301247284199476,241.79102711297372,1.5587097228156348,3
6,6.5,0.4855072463768116,3.1478632478632473,1.5391726126994043,7.333333333333334,1.3333333333333335,0.417910447761194,3,1.3788194444444446,0.3817467922929097,2.0,0.8333333333333333,0.8208955223880597,3,0.9083333333333332,0.0,1.0666666666666667,0.7499999999999999,0.9855072463768116,1,67,71,70.03550317471611,58.51510958486966,275.15512812459514,0.7149692301071464,3
7,7.5,0.5522388059701493,3.1710526315789473,1.4313556658636923,6.666666666666667,1.3333333333333335,0.4864864864864865,1,1.5041666666666667,0.3376799931559135,2.0,1.2,0.8918918918918919,2,1.5185185185185184,0.4206598774666868,2.0,1.2222222222222223,0.9776119402985075,2,74,60,66.6366225596002,62.53046199354361,325.23354710891687,2.0615528128088303,3
8,8.5,0.49324324324324326,2.833333333333334,1.2515175972779191,5.666666666666668,1.3333333333333335,0.4931506849315068,3,1.3382867132867133,0.30348523543331624,2.0,0.7272727272727273,0.821917808219178,1,0.8411764705882352,0.0,0.8823529411764705,0.8,0.9864864864864865,1,73,75,65.904879932076,51.94834694864762,220.108307317775,0.8786353054595516,3
9,9.5,0.4726027397260274,2.87962962962963,1.3970553562512598,6.666666666666667,1.3333333333333335,0.4782608695652174,3,1.3073863636363638,0.3135526348492972,1.6666666666666667,0.7999999999999999,0.8840579710144928,3,1.3333333333333335,0.44487826050130463,2.0,0.7499999999999999,0.9657534246575342,2,69,77,74.167491127005,62.08658525156082,243.5969577787913,2.314771911009795,3
10,10.5,0.43478260869565216,2.936274509803922,1.4034677506357844,6.666666666666667,1.3333333333333335,0.43333333333333335,3,1.376082251082251,0.307827513384386,2.0,1.0909090909090908,0.8833333333333333,1,1.361111111111111,0.12729376930432876,1.4999999999999998,1.25,0.9782608695652174,3,60,78,77.25824134531618,60.44017183830008,255.95883178852642,1.118033988749895,3
